"","EIN","Year","Assets","Liabilities"
"2018","22-3433831",2011,6731548,3421348
"2019","22-3433831",2012,6669438,3023367
"2020","22-3433831",2013,6662073,3478819
"2021","22-3433831",2014,6495668,3196430
"2022","22-3433831",2015,7143263,3356566
"2023","22-3433831",2016,13468750,9377764
"2024","22-3433831",2017,14477352,9629261
"2025","22-3433831",2018,14363738,9373842
"2026","22-3433831",2019,14806433,9795850
"2027","22-3433831",2020,16490905,11295810
"2028","22-3433831",2021,14422707,10583297
"2029","22-3433831",2022,15700193,11755417
"2030","20-1324142",2008,644560,4269582
"2031","20-1324142",2009,3768809,8455413
"2032","20-1324142",2010,6833073,12524081
"2033","20-1324142",2011,9129108,14525756
"2034","20-1324142",2012,7588654,10350771
"2035","20-1324142",2013,7534021,10406931
"2036","20-1324142",2014,7821682,9937440
"2037","20-1324142",2015,9038872,10603748
"2038","20-1324142",2016,9303296,9152347
"2039","20-1324142",2017,12577799,10508570
"2040","20-1324142",2018,14276563,9653693
"2041","20-1324142",2019,18375944,11897791
"2042","20-1324142",2020,26620597,12140088
"2043","20-1324142",2021,45013117,7831432
"2044","20-0547132",2009,3228538,2948723
"2045","20-0547132",2010,3514725,1146318
"2046","20-0547132",2011,3865387,914662
"2047","20-0547132",2012,3907457,946194
"2048","20-0547132",2013,4409086,1150508
"2049","20-0547132",2014,6395374,1374585
"2050","20-0547132",2015,8000806,1438624
"2051","20-0547132",2016,8082063,1152585
"2052","20-0547132",2017,8202563,1143454
"2053","20-0547132",2018,8085173,1213315
"2054","20-0547132",2019,7858755,1219517
"2055","20-0547132",2020,7619207,1365557
"2056","20-0547132",2021,8315522,1852360
"2057","20-0547132",2022,10639129,1403513
"2058","02-0703686",2008,425900,319838
"2059","02-0703686",2009,685279,135733
"2060","02-0703686",2010,2082521,124609
"2061","02-0703686",2011,2456606,149832
"2062","02-0703686",2012,2247906,92032
"2063","02-0703686",2013,2135768,87111
"2064","02-0703686",2014,1698589,147038
"2065","02-0703686",2015,1158711,235056
"2066","02-0703686",2016,1180327,603515
"2067","02-0703686",2017,617835,615296
"2068","02-0703686",2018,598323,547800
"2069","02-0703686",2019,393560,467306
"2070","02-0703686",2020,584427,230911
"2071","02-0703686",2021,1127469,215377
"2072","20-4133180",2008,502426,201484
"2073","20-4133180",2009,506595,79238
"2074","20-4133180",2010,320873,78014
"2075","20-4133180",2011,361178,115071
"2076","20-4133180",2012,491457,202584
"2077","20-4133180",2013,812596,155572
"2078","20-4133180",2014,1752995,313482
"2079","20-4133180",2015,4991805,173779
"2080","20-4133180",2016,5520194,147650
"2081","20-4133180",2017,5634522,255964
"2082","20-4133180",2018,5592472,204042
"2083","20-4133180",2019,5952627,206183
"2084","20-4133180",2020,6378188,904503
"2085","20-4133180",2021,6229802,117791
"2086","51-0567466",2008,2625609,682598
"2087","51-0567466",2009,3476022,1061910
"2088","51-0567466",2010,3411015,786477
"2089","51-0567466",2011,6576276,2315519
"2090","51-0567466",2013,9016629,814272
"2091","51-0567466",2014,10014257,1158084
"2092","51-0567466",2015,13679059,3060263
"2093","51-0567466",2016,18995710,8024616
"2094","51-0567466",2017,19111570,6907126
"2095","51-0567466",2018,19303706,7359339
"2096","51-0567466",2019,19289995,6930735
"2097","51-0567466",2020,19691599,7948915
"2098","51-0567466",2021,22226092,7591318
"2099","13-3841701",2009,8751713,8196023
"2100","13-3841701",2010,10950759,9619549
"2101","13-3841701",2011,9166351,8633906
"2102","13-3841701",2012,11452539,9999729
"2103","13-3841701",2013,21002541,21300355
"2104","13-3841701",2014,17807145,16838491
"2105","13-3841701",2015,16344562,15677085
"2106","13-3841701",2016,15757237,15553147
"2107","13-3841701",2017,15490845,16048531
"2108","13-3841701",2018,15053595,16728421
"2109","13-3841701",2019,14187267,17362575
"2110","13-3841701",2020,13415998,8640275
"2111","13-3841701",2021,12030689,5736160
"2112","13-3841701",2022,11223568,5101660
"2113","11-3488520",2008,1539823,3331630
"2114","11-3488520",2009,1713166,3591038
"2115","11-3488520",2010,1535955,3585906
"2116","11-3488520",2011,2509234,4929552
"2117","11-3488520",2012,2927191,4997773
"2118","11-3488520",2013,3294649,5622871
"2119","11-3488520",2014,2443046,5314954
"2120","11-3488520",2015,2824146,5243981
"2121","11-3488520",2016,3493405,5378245
"2122","11-3488520",2017,3402973,2366167
"2123","11-3488520",2018,2457192,2086207
"2124","11-3488520",2019,2707880,2332805
"2125","11-3488520",2020,5165809,2619588
"2126","11-3488520",2021,5459308,2239554
"2127","02-0693325",2008,286025,1272749
"2128","02-0693325",2009,149631,1295137
"2129","02-0693325",2010,205797,1508914
"2130","02-0693325",2011,202409,1881823
"2131","02-0693325",2012,153058,2260914
"2132","02-0693325",2013,252205,2370079
"2133","02-0693325",2014,5652172,7330640
"2134","02-0693325",2015,6680020,7534151
"2135","02-0693325",2016,8420606,9442705
"2136","02-0693325",2017,9306700,9981990
"2137","02-0693325",2018,10955767,9869002
"2138","02-0693325",2019,12171404,9272991
"2139","02-0693325",2020,16731230,11070242
"2140","02-0693325",2021,19712819,10912331
"2141","16-1030802",2008,3822115,1968507
"2142","16-1030802",2009,3902323,2145235
"2143","16-1030802",2010,3663408,2279896
"2144","16-1030802",2011,3601787,2514957
"2145","16-1030802",2012,3603267,2290134
"2146","16-1030802",2013,4278541,2959620
"2147","16-1030802",2014,3974142,2467145
"2148","16-1030802",2015,4495988,2018382
"2149","16-1030802",2016,5505944,1740130
"2150","16-1030802",2017,6468101,1582027
"2151","16-1030802",2018,7436586,1431111
"2152","16-1030802",2019,8031000,1807829
"2153","16-1030802",2020,9928996,3581273
"2154","16-1030802",2021,10695975,3788096
"2155","13-3595755",2008,3233450,1253666
"2156","13-3595755",2009,3876995,2285472
"2157","13-3595755",2010,4467755,2754427
"2158","13-3595755",2011,5500790,1436745
"2159","13-3595755",2012,7331080,1358742
"2160","13-3595755",2013,8431087,1615122
"2161","13-3595755",2014,9054713,1349488
"2162","13-3595755",2015,11418154,3129137
"2163","13-3595755",2016,12125068,3669260
"2164","13-3595755",2017,12598388,3677835
"2165","13-3595755",2018,16536725,3209284
"2166","13-3595755",2019,17816960,2730380
"2167","13-3595755",2020,18646781,2303366
"2168","13-3595755",2021,23435027,2345743
"2169","20-0013066",2008,314233,2055064
"2170","20-0013066",2009,329797,1458187
"2171","20-0013066",2010,412949,701094
"2172","20-0013066",2011,593083,775581
"2173","20-0013066",2012,581810,723499
"2174","20-0013066",2013,576756,437845
"2175","20-0013066",2014,823263,237352
"2176","20-0013066",2015,1437282,331586
"2177","20-0013066",2016,1837294,450464
"2178","20-0013066",2017,2268469,579294
"2179","20-0013066",2018,3937668,1195372
"2180","20-0013066",2019,5045609,2580872
"2181","20-0013066",2020,6108237,2843509
"2182","20-0013066",2021,6483195,2625651
"2183","16-0983042",2008,1597433,1436692
"2184","16-0983042",2009,1539039,1321771
"2185","16-0983042",2010,1842297,1506963
"2186","16-0983042",2011,1620817,1119782
"2187","16-0983042",2012,1707049,1176970
"2188","16-0983042",2013,1764394,1080062
"2189","16-0983042",2014,2080242,1135465
"2190","16-0983042",2015,2408592,1043987
"2191","16-0983042",2016,2375393,1585482
"2192","16-0983042",2017,2493189,1339155
"2193","16-0983042",2018,3141828,602008
"2194","16-0983042",2019,4051200,596278
"2195","16-0983042",2020,9846878,2402856
"2196","16-0983042",2021,9996183,1383564
"2197","11-3535388",2009,3493763,1675857
"2198","11-3535388",2010,3111897,631511
"2199","11-3535388",2011,4759054,1158104
"2200","11-3535388",2012,6354704,1039755
"2201","11-3535388",2013,8450085,904577
"2202","11-3535388",2014,10492724,1338498
"2203","11-3535388",2015,11514903,1018983
"2204","11-3535388",2016,13930607,1540406
"2205","11-3535388",2017,14385293,1500607
"2206","11-3535388",2018,16719793,4676816
"2207","11-3535388",2019,15963286,3651707
"2208","11-3535388",2020,20038038,4137895
"2209","11-3535388",2021,27269080,2904591
"2210","27-3512018",2012,56124,19845
"2211","27-3512018",2013,353069,34334
"2212","27-3512018",2014,704566,42231
"2213","27-3512018",2015,1759156,196611
"2214","27-3512018",2016,2635710,37988
"2215","27-3512018",2017,5365597,90550
"2216","27-3512018",2018,8484879,1205517
"2217","27-3512018",2019,20635507,11875929
"2218","27-3512018",2020,23067167,12248336
"2219","27-3512018",2021,29196493,9392720
"2220","22-3439175",2009,347637,110394
"2221","22-3439175",2010,890182,598100
"2222","22-3439175",2011,1959535,706355
"2223","22-3439175",2012,1237118,642027
"2224","22-3439175",2013,794400,333994
"2225","22-3439175",2014,565135,467981
"2226","22-3439175",2015,597598,620906
"2227","22-3439175",2016,665651,495167
"2228","22-3439175",2017,799436,521671
"2229","22-3439175",2018,615188,450938
"2230","22-3439175",2019,622587,435330
"2231","22-3439175",2020,1049249,1003519
"2232","22-3439175",2021,1095843,836293
"2233","22-3439175",2022,1110785,635445
"2234","13-3826364",2009,3212050,6086188
"2235","13-3826364",2010,3916228,5904657
"2236","13-3826364",2011,2770047,4762694
"2237","13-3826364",2012,3217911,4051964
"2238","13-3826364",2013,2782008,4320310
"2239","13-3826364",2014,2815867,4585479
"2240","13-3826364",2015,3351158,4634244
"2241","13-3826364",2016,6262656,3319866
"2242","13-3826364",2017,11334616,3911096
"2243","13-3826364",2018,17150401,3380917
"2244","13-3826364",2019,23093458,3987310
"2245","13-3826364",2020,34926493,8778820
"2246","13-3826364",2021,47891694,11678866
"2247","13-3826364",2022,57336713,11944309
"2248","42-1571876",2009,785643,11965
"2249","42-1571876",2010,725542,52601
"2250","42-1571876",2011,872533,34542
"2251","42-1571876",2012,1071487,68294
"2252","42-1571876",2013,1535308,310883
"2253","42-1571876",2014,4152601,2283527
"2254","42-1571876",2015,4957089,2940669
"2255","42-1571876",2016,5300195,2908178
"2256","42-1571876",2017,5528539,2154202
"2257","42-1571876",2018,7710163,3680350
"2258","42-1571876",2019,9437207,4601792
"2259","42-1571876",2020,13673986,7342167
"2260","42-1571876",2021,18205160,6194166
"2261","42-1571876",2022,22715738,4823881
"2262","13-4074478",2008,9643207,15456798
"2263","13-4074478",2009,7147575,16254646
"2264","13-4074478",2010,9474716,19479931
"2265","13-4074478",2011,8144575,17735601
"2266","13-4074478",2012,5165812,12661663
"2267","13-4074478",2013,5445515,13034533
"2268","13-4074478",2014,6366297,13901333
"2269","13-4074478",2015,6980384,15011352
"2270","13-4074478",2016,7706965,15614694
"2271","13-4074478",2017,7147935,15240514
"2272","13-4074478",2018,9846090,17764470
"2273","13-4074478",2019,9850757,21255570
"2274","13-4074478",2020,13006985,24118010
"2275","13-4074478",2021,37674663,46107939
"2276","47-2424768",2016,994944,720202
"2277","47-2424768",2017,1124316,279471
"2278","47-2424768",2018,1675487,519562
"2279","47-2424768",2019,1571542,221620
"2280","47-2424768",2020,3184344,659432
"2281","47-2424768",2021,4520859,1117820
"2282","46-5221991",2015,463380,435068
"2283","46-5221991",2016,339513,691300
"2284","46-5221991",2017,1026543,1947638
"2285","46-5221991",2018,681778,1717182
"2286","46-5221991",2019,887087,1824831
"2287","46-5221991",2020,1137810,1675678
"2288","46-5221991",2021,1935986,1665390
"2289","13-3706365",2009,3317790,1839024
"2290","13-3706365",2010,3704307,1668722
"2291","13-3706365",2011,3214736,1620176
"2292","13-3706365",2012,3803034,1706919
"2293","13-3706365",2013,3677741,1443354
"2294","13-3706365",2014,5181373,1812057
"2295","13-3706365",2015,6993994,1844487
"2296","13-3706365",2016,12549456,4788743
"2297","13-3706365",2017,13255146,4148367
"2298","13-3706365",2018,16187769,4118641
"2299","13-3706365",2019,18267085,3941400
"2300","13-3706365",2020,22480385,4472277
"2301","13-3706365",2021,26630788,5534052
"2302","13-3706365",2022,26568538,4118990
"2303","13-3224700",2009,26321337,28033275
"2304","13-3224700",2010,28880284,31165659
"2305","13-3224700",2011,30958445,33855598
"2306","13-3224700",2012,29558177,33867654
"2307","13-3224700",2013,30965029,32782470
"2308","13-3224700",2014,29605790,32031725
"2309","13-3224700",2015,28330671,31846567
"2310","13-3224700",2016,22623520,23389500
"2311","13-3224700",2017,29832658,29082524
"2312","13-3224700",2018,40953187,35005273
"2313","13-3224700",2019,53230125,47350227
"2314","13-3224700",2020,60791233,52704488
"2315","13-3224700",2021,67586473,54305893
"2316","13-3224700",2022,68036565,46481763
"2317","22-2072120",2017,1386545,1875115
"2318","22-2072120",2018,3049076,3413802
"2319","22-2072120",2019,2060092,821659
"2320","22-2072120",2020,3680410,2263536
"2321","22-2072120",2021,4558761,1605840
"2322","22-2072120",2022,2800098,1195084
"2323","47-4829539",2017,954175,3545420
"2324","47-4829539",2018,916440,4923254
"2325","47-4829539",2019,1561140,5452967
"2326","47-4829539",2020,1604605,3041874
"2327","47-4829539",2021,2178758,2441408
"2328","84-2575341",2020,437805,439878
"2329","84-2575341",2021,597528,494239
"2330","23-7267007",2009,25941608,1950297
"2331","23-7267007",2010,26269601,2388248
"2332","23-7267007",2011,27281799,2570084
"2333","23-7267007",2012,28325355,3312213
"2334","23-7267007",2013,29463786,3414268
"2335","23-7267007",2014,30605254,3623114
"2336","23-7267007",2015,27788899,4844409
"2337","23-7267007",2016,26572027,4246797
"2338","23-7267007",2017,27840076,5406858
"2339","23-7267007",2018,27511221,4262360
"2340","23-7267007",2019,27465995,3474962
"2341","23-7267007",2020,30971790,7497402
"2342","23-7267007",2021,37031323,9783001
"2343","23-7267007",2022,34257888,6291860
"2344","25-1239335",2009,601429,159034
"2345","25-1239335",2010,702369,202324
"2346","25-1239335",2011,677477,282318
"2347","25-1239335",2012,688109,358393
"2348","25-1239335",2013,603205,490963
"2349","25-1239335",2014,522591,609244
"2350","25-1239335",2015,856665,715378
"2351","25-1239335",2016,984460,656760
"2352","25-1239335",2017,1927228,2103560
"2353","25-1239335",2018,1781183,2788231
"2354","25-1239335",2019,2004111,2750350
"2355","25-1239335",2020,2464630,2708303
"2356","25-1239335",2021,4804509,3017792
"2357","25-1239335",2022,5548744,3895085
"2358","23-1858363",2009,4026348,2149258
"2359","23-1858363",2010,5373617,2220307
"2360","23-1858363",2011,5606612,2339296
"2361","23-1858363",2012,17463699,13898758
"2362","23-1858363",2013,17159972,10151864
"2363","23-1858363",2014,21365658,10363268
"2364","23-1858363",2015,18636223,11318024
"2365","23-1858363",2016,17606288,9944487
"2366","23-1858363",2017,18712486,9590873
"2367","23-1858363",2018,22620041,9687562
"2368","23-1858363",2019,12637402,9710814
"2369","23-1858363",2020,11811343,8791294
"2370","23-1858363",2021,15250908,10339913
"2371","23-1858363",2022,16756964,7509933
"2372","23-1909490",2009,1110303,301442
"2373","23-1909490",2010,1123133,232566
"2374","23-1909490",2011,2111539,955064
"2375","23-1909490",2012,1954442,1032645
"2376","23-1909490",2013,2028153,1172402
"2377","23-1909490",2014,3910511,1502794
"2378","23-1909490",2015,3921270,1419480
"2379","23-1909490",2016,5752764,2806257
"2380","23-1909490",2017,5719541,1841845
"2381","23-1909490",2018,5388527,1331528
"2382","23-1909490",2019,5486194,1920854
"2383","23-1909490",2020,6185394,2379749
"2384","23-1909490",2021,21446868,4534881
"2385","23-1909490",2022,24346198,7154219
"2386","25-1300356",2009,6574744,2695194
"2387","25-1300356",2010,6373241,2647110
"2388","25-1300356",2011,7669233,3074980
"2389","25-1300356",2012,6977664,2406582
"2390","25-1300356",2013,5543905,1901213
"2391","25-1300356",2014,4970481,2271115
"2392","25-1300356",2015,4446561,1923210
"2393","25-1300356",2016,4651853,1707699
"2394","25-1300356",2017,4410466,1320491
"2395","25-1300356",2018,4708046,1613914
"2396","25-1300356",2019,4173930,1209605
"2397","25-1300356",2020,4436640,2810511
"2398","25-1300356",2021,5712042,1768501
"2399","52-1256116",2009,806733,1400603
"2400","52-1256116",2010,509404,925020
"2401","52-1256116",2011,471340,789244
"2402","52-1256116",2012,437751,1001110
"2403","52-1256116",2013,403398,876498
"2404","52-1256116",2015,617765,771815
"2405","52-1256116",2016,1178307,659836
"2406","52-1256116",2017,1140414,565345
"2407","52-1256116",2018,1480358,610007
"2408","52-1256116",2019,1570885,603293
"2409","52-1256116",2020,3013775,1157033
"2410","52-1256116",2021,3429574,900548
"2411","52-1256116",2022,3628902,800320
"2412","23-1729755",2009,2270383,711178
"2413","23-1729755",2010,3127193,874270
"2414","23-1729755",2011,3253112,693862
"2415","23-1729755",2012,3162236,588670
"2416","23-1729755",2013,2778731,617461
"2417","23-1729755",2014,2646228,842792
"2418","23-1729755",2015,2533139,896565
"2419","23-1729755",2016,2764260,885772
"2420","23-1729755",2017,2714914,859340
"2421","23-1729755",2018,2600349,785538
"2422","23-1729755",2019,3209182,1084999
"2423","23-1729755",2020,3285817,2320893
"2424","23-1729755",2021,4113242,2234878
"2425","23-1729755",2022,4033764,1003964
"2426","54-0887287",2009,17684140,4395783
"2427","54-0887287",2010,19864534,4159342
"2428","54-0887287",2011,24226279,6518517
"2429","54-0887287",2012,24256134,3917228
"2430","54-0887287",2013,25480633,2315478
"2431","54-0887287",2014,25068264,2180047
"2432","54-0887287",2015,25792091,2903887
"2433","54-0887287",2016,26217775,2845933
"2434","54-0887287",2017,27730440,2899752
"2435","54-0887287",2018,30094412,3272926
"2436","54-0887287",2019,34404010,3775162
"2437","54-0887287",2020,42203961,4254162
"2438","54-0887287",2021,57140833,9505164
"2439","54-0887287",2022,73302827,11325529
"2440","51-0196935",2009,6043465,2044889
"2441","51-0196935",2010,10724113,4147365
"2442","51-0196935",2011,11250314,3722129
"2443","51-0196935",2012,12538140,3612264
"2444","51-0196935",2013,17332945,3723660
"2445","51-0196935",2014,18092533,3233989
"2446","51-0196935",2015,18489846,3283943
"2447","51-0196935",2016,20131385,3573396
"2448","51-0196935",2017,22682435,3631395
"2449","51-0196935",2018,26476983,3633886
"2450","51-0196935",2019,31893116,4335150
"2451","51-0196935",2020,38919662,7803398
"2452","51-0196935",2021,43291038,7250003
"2453","51-0196935",2022,50328522,3972075
"2454","23-7319768",2009,5855279,2388715
"2455","23-7319768",2010,5991135,2506765
"2456","23-7319768",2011,6090245,2324037
"2457","23-7319768",2012,6633873,2582618
"2458","23-7319768",2013,6656750,3135517
"2459","23-7319768",2014,7749643,4376641
"2460","23-7319768",2015,10539807,3802856
"2461","23-7319768",2016,11213761,3714608
"2462","23-7319768",2017,12667702,4450034
"2463","23-7319768",2018,12394173,2461936
"2464","23-7319768",2019,17873527,1410597
"2465","23-7319768",2020,24448950,2552844
"2466","23-7319768",2021,27163671,1136579
"2467","23-7319768",2022,30755824,1410300
"2468","25-1417228",2009,4341858,1179735
"2469","25-1417228",2010,4614425,1567014
"2470","25-1417228",2011,4236351,1129919
"2471","25-1417228",2012,3949758,934462
"2472","25-1417228",2013,3825463,770623
"2473","25-1417228",2014,3720438,933214
"2474","25-1417228",2015,4300761,1051362
"2475","25-1417228",2016,3613172,758843
"2476","25-1417228",2017,3887845,409954
"2477","25-1417228",2018,4657317,694757
"2478","25-1417228",2019,5940290,736316
"2479","25-1417228",2021,11587770,3417895
"2480","25-1417228",2022,10493973,7258565
"2481","55-0490878",2009,8304977,6930864
"2482","55-0490878",2010,8781717,7669665
"2483","55-0490878",2011,10415799,7761992
"2484","55-0490878",2012,12473734,7864929
"2485","55-0490878",2013,12081234,8007142
"2486","55-0490878",2014,11310593,6986716
"2487","55-0490878",2015,13926072,6870260
"2488","55-0490878",2016,16814488,6641262
"2489","55-0490878",2017,17375805,6383307
"2490","55-0490878",2018,14564829,5353234
"2491","55-0490878",2019,17831271,5548098
"2492","55-0490878",2020,26967230,7062645
"2493","55-0490878",2021,38124676,9733675
"2494","55-0490878",2022,47848830,7912052
"2495","55-0541649",2009,1009447,695586
"2496","55-0541649",2010,1131933,877554
"2497","55-0541649",2011,1281925,716686
"2498","55-0541649",2012,1294760,622428
"2499","55-0541649",2013,1301914,568434
"2500","55-0541649",2014,1333261,573646
"2501","55-0541649",2015,1415804,611116
"2502","55-0541649",2016,1586037,577719
"2503","55-0541649",2017,1955151,744669
"2504","55-0541649",2018,1691833,631045
"2505","55-0541649",2019,1815869,516925
"2506","55-0541649",2020,2370191,657247
"2507","55-0541649",2021,2887440,404870
"2508","55-0541649",2022,4562394,889535
"2509","55-0419191",2009,9908296,3322258
"2510","55-0419191",2010,9564674,2722178
"2511","55-0419191",2011,9900386,3408464
"2512","55-0419191",2012,9891821,4163640
"2513","55-0419191",2013,12281789,4219967
"2514","55-0419191",2014,11837892,3531461
"2515","55-0419191",2015,12834899,3870632
"2516","55-0419191",2016,12957195,3451217
"2517","55-0419191",2017,13129376,3225555
"2518","55-0419191",2018,13867132,2823920
"2519","55-0419191",2019,15294607,2791713
"2520","55-0419191",2020,17233564,2881364
"2521","55-0419191",2021,21434339,3030086
"2522","55-0419191",2022,24861661,2268428
"2523","55-0552212",2009,4542896,1102729
"2524","55-0552212",2010,5687657,1233020
"2525","55-0552212",2011,6443693,2379984
"2526","55-0552212",2012,6559330,2599546
"2527","55-0552212",2013,9660546,3145473
"2528","55-0552212",2014,9193687,2736761
"2529","55-0552212",2015,13404788,2633066
"2530","55-0552212",2016,18952011,3354889
"2531","55-0552212",2017,22613767,3223101
"2532","55-0552212",2018,22842329,2974514
"2533","55-0552212",2019,23537261,3266193
"2534","55-0552212",2020,32142535,7792768
"2535","55-0552212",2021,29695137,5506155
"2536","55-0552212",2022,36741757,4649925
"2537","55-0554001",2009,15316531,7516990
"2538","55-0554001",2010,13624252,6987438
"2539","55-0554001",2011,15289106,6926168
"2540","55-0554001",2012,23327255,8606285
"2541","55-0554001",2013,26852352,6241226
"2542","55-0554001",2014,30153055,5996771
"2543","55-0554001",2015,35756016,7060750
"2544","55-0554001",2016,39519359,7960020
"2545","55-0554001",2017,43008561,8644180
"2546","55-0554001",2018,51078845,13237275
"2547","55-0554001",2019,62081983,13167005
"2548","55-0554001",2020,80089482,21349502
"2549","55-0554001",2021,81860530,21037266
"2550","55-0554001",2022,90937429,19916892
"2551","55-0665614",2009,1705324,358098
"2552","55-0665614",2010,1753925,321978
"2553","55-0665614",2011,2451047,386177
"2554","55-0665614",2012,3886600,785299
"2555","55-0665614",2013,3597132,197158
"2556","55-0665614",2014,3297341,181099
"2557","55-0665614",2015,3712666,211310
"2558","55-0665614",2016,4508671,251023
"2559","55-0665614",2017,5576553,300480
"2560","55-0665614",2018,6537532,308145
"2561","55-0665614",2019,7340283,315438
"2562","55-0665614",2020,9274610,1925456
"2563","55-0665614",2021,10560524,1304546
"2564","55-0665614",2022,12745072,673806
"2565","55-0563741",2009,12652359,9643513
"2566","55-0563741",2010,14737564,9936482
"2567","55-0563741",2011,14248739,9226955
"2568","55-0563741",2012,17504723,9086793
"2569","55-0563741",2013,18777916,9117643
"2570","55-0563741",2014,19012306,9209589
"2571","55-0563741",2015,21623833,9448683
"2572","55-0563741",2016,21994508,9099320
"2573","55-0563741",2017,24276099,9125179
"2574","55-0563741",2018,23938755,10206010
"2575","55-0563741",2019,21535746,8820767
"2576","55-0563741",2020,20189770,9179420
"2577","55-0563741",2021,21888058,9197077
"2578","55-0563741",2022,20160961,9315608
"2579","31-0889458",2009,2078838,328076
"2580","31-0889458",2010,2543867,311648
"2581","31-0889458",2011,2471131,261495
"2582","31-0889458",2012,2631299,340548
"2583","31-0889458",2013,2683777,404000
"2584","31-0889458",2015,2936612,206456
"2585","31-0889458",2016,3787332,210613
"2586","31-0889458",2017,5021050,220726
"2587","31-0889458",2018,6440838,248277
"2588","31-0889458",2019,8414715,373592
"2589","31-0889458",2020,10964814,535290
"2590","31-0889458",2021,14290262,1323805
"2591","31-0889458",2022,16253589,497904
"2592","31-1041705",2009,3808297,919435
"2593","31-1041705",2010,3691732,874533
"2594","31-1041705",2011,5245796,1136566
"2595","31-1041705",2012,5782826,1152016
"2596","31-1041705",2013,6298954,1788752
"2597","31-1041705",2014,5837810,1625004
"2598","31-1041705",2015,6636563,1692166
"2599","31-1041705",2016,6777398,1545352
"2600","31-1041705",2017,5839834,1498642
"2601","31-1041705",2018,7366369,1458992
"2602","31-1041705",2019,7841287,1422902
"2603","31-1041705",2020,9399501,1912987
"2604","31-1041705",2021,10712399,1515446
"2605","31-1041705",2022,11542902,1408325
"2606","54-1287905",2009,2062933,283426
"2607","54-1287905",2010,3525399,425650
"2608","54-1287905",2011,4584756,341942
"2609","54-1287905",2012,5746087,741713
"2610","54-1287905",2013,6582341,754657
"2611","54-1287905",2014,7432033,958253
"2612","54-1287905",2015,9157854,886617
"2613","54-1287905",2016,12148333,2463810
"2614","54-1287905",2017,14848459,2638469
"2615","54-1287905",2018,15546805,2498891
"2616","54-1287905",2019,15176573,2043303
"2617","54-1287905",2020,18604433,5369001
"2618","54-1287905",2021,19364438,3716545
"2619","54-1849891",2009,3999537,1816789
"2620","54-1849891",2010,3656991,1426357
"2621","54-1849891",2011,4164864,1622178
"2622","54-1849891",2012,4535627,1944675
"2623","54-1849891",2013,4508638,1851671
"2624","54-1849891",2014,10175918,7412642
"2625","54-1849891",2015,11115071,8221896
"2626","54-1849891",2016,12117258,8402353
"2627","54-1849891",2017,14463787,9428968
"2628","54-1849891",2018,15297242,8579449
"2629","54-1849891",2019,15550480,8087230
"2630","54-1849891",2020,18553290,10973295
"2631","54-1849891",2021,19940165,9400879
"2632","54-1849891",2022,23469014,9803417
"2633","23-7118262",2009,8409943,4980985
"2634","23-7118262",2010,8411901,4876532
"2635","23-7118262",2011,8232805,4677916
"2636","23-7118262",2012,8126163,4519984
"2637","23-7118262",2013,8234780,5084673
"2638","23-7118262",2014,8514931,5385811
"2639","23-7118262",2015,7226566,4346999
"2640","23-7118262",2016,7511283,4167323
"2641","23-7118262",2017,7964404,4524013
"2642","23-7118262",2018,7604242,3994131
"2643","23-7118262",2019,7249286,3981662
"2644","23-7118262",2020,7428750,4946415
"2645","23-7118262",2021,9829262,7275186
"2646","23-7118262",2022,10664664,6978998
"2647","23-1889724",2009,8136219,7639502
"2648","23-1889724",2010,7496289,6895985
"2649","23-1889724",2011,7927232,6116145
"2650","23-1889724",2012,4878535,4596255
"2651","23-1889724",2013,4511987,3146963
"2652","23-1889724",2014,4849181,3069513
"2653","23-1889724",2015,4916271,3680023
"2654","23-1889724",2016,6287015,4574729
"2655","23-1889724",2017,6935102,3368793
"2656","23-1889724",2018,9850156,3602390
"2657","23-1889724",2020,14503533,4728458
"2658","23-1889724",2021,22065846,7842169
"2659","23-1889724",2022,25037365,9168810
"2660","54-1030637",2009,740571,144762
"2661","54-1030637",2010,1206343,572077
"2662","54-1030637",2011,2812059,2120450
"2663","54-1030637",2012,2570238,2137803
"2664","54-1030637",2013,2762624,2188946
"2665","54-1030637",2014,2728734,2271788
"2666","54-1030637",2015,2607109,2391053
"2667","54-1030637",2016,2727903,2495713
"2668","54-1030637",2017,2693436,2304804
"2669","54-1030637",2018,2676560,2373429
"2670","54-1030637",2019,2906588,2439385
"2671","54-1030637",2020,4186730,3374116
"2672","54-1030637",2021,4019770,2533862
"2673","54-1030637",2022,4319185,2168888
"2674","31-0889730",2009,1003336,521572
"2675","31-0889730",2010,2889741,1978874
"2676","31-0889730",2011,2840339,1759225
"2677","31-0889730",2012,2881299,1622374
"2678","31-0889730",2013,2819136,1652154
"2679","31-0889730",2014,2642628,1615800
"2680","31-0889730",2015,3140192,1697823
"2681","31-0889730",2016,4345613,1657801
"2682","31-0889730",2017,4627817,1713835
"2683","31-0889730",2018,5125082,1524835
"2684","31-0889730",2019,7713053,1517856
"2685","31-0889730",2020,11825128,2647121
"2686","31-0889730",2021,14942207,598249
"2687","31-0889730",2022,18723042,843849
"2688","23-7047824",2009,2712384,792429
"2689","23-7047824",2010,3630987,748151
"2690","23-7047824",2011,3937795,696339
"2691","23-7047824",2012,5290510,787032
"2692","23-7047824",2013,5614647,1144217
"2693","23-7047824",2014,5312954,1142332
"2694","23-7047824",2015,5068366,1380484
