"","EIN","Year","Staff"
"3864","64-0443928","2015","106"
"3865","64-0443928","2016","114"
"3866","64-0443928","2017","136"
"3867","64-0443928","2018","131"
"3868","64-0443928","2019","128"
"3869","64-0443928","2020","158"
"3870","64-0443928","2021","161"
"3871","56-0952737","2009","335"
"3872","56-0952737","2010","351"
"3873","56-0952737","2011","371"
"3874","56-0952737","2012","401"
"3875","56-0952737","2013","442"
"3876","56-0952737","2014","479"
"3877","56-0952737","2015","479"
"3878","56-0952737","2015","526"
"3879","56-0952737","2016","618"
"3880","56-0952737","2017","653"
"3881","56-0952737","2018","681"
"3882","56-0952737","2019","701"
"3883","56-0952737","2021","766"
"3884","58-1319204","2009","305"
"3885","58-1319204","2010","306"
"3886","58-1319204","2011","258"
"3887","58-1319204","2012","249"
"3888","58-1319204","2013","256"
"3889","58-1319204","2014","251"
"3890","58-1319204","2015","261"
"3891","58-1319204","2016","270"
"3892","58-1319204","2017","294"
"3893","58-1319204","2018","302"
"3894","58-1319204","2019","324"
"3895","58-1319204","2020","343"
"3896","58-1319204","2021","318"
"3897","56-1031244","2009","247"
"3898","56-1031244","2010","227"
"3899","56-1031244","2011","236"
"3900","56-1031244","2012","219"
"3901","56-1031244","2013","228"
"3902","56-1031244","2014","236"
"3903","56-1031244","2015","234"
"3904","56-1031244","2016","248"
"3905","56-1031244","2017","289"
"3906","56-1031244","2018","270"
"3907","56-1031244","2019","274"
"3908","56-1031244","2020","274"
"3909","56-1031244","2021","300"
"3910","56-1031244","2022","307"
"3911","56-0794933","2009","103"
"3912","56-0794933","2010","110"
"3913","56-0794933","2011","125"
"3914","56-0794933","2012","101"
"3915","56-0794933","2013","153"
"3916","56-0794933","2014","194"
"3917","56-0794933","2015","208"
"3918","56-0794933","2016","245"
"3919","56-0794933","2017","284"
"3920","56-0794933","2018","344"
"3921","56-0794933","2019","381"
"3922","56-0794933","2020","431"
"3923","56-1004791","2009","166"
"3924","56-1004791","2010","163"
"3925","56-1004791","2011","163"
"3926","56-1004791","2012","162"
"3927","56-1004791","2013","166"
"3928","56-1004791","2014","197"
"3929","56-1004791","2015","193"
"3930","56-1004791","2016","207"
"3931","56-1004791","2017","217"
"3932","56-1004791","2018","204"
"3933","56-1004791","2019","198"
"3934","56-1004791","2020","228"
"3935","56-1004791","2021","248"
"3936","56-0992353","2009","149"
"3937","56-0992353","2010","159"
"3938","56-0992353","2011","160"
"3939","56-0992353","2012","173"
"3940","56-0992353","2013","174"
"3941","56-0992353","2014","165"
"3942","56-0992353","2015","164"
"3943","56-0992353","2016","175"
"3944","56-0992353","2017","201"
"3945","56-0992353","2018","200"
"3946","56-0992353","2019","200"
"3947","56-0992353","2020","199"
"3948","56-0992353","2021","188"
"3949","57-0604703","2009","137"
"3950","57-0604703","2010","136"
"3951","57-0604703","2011","135"
"3952","57-0604703","2012","120"
"3953","57-0604703","2013","111"
"3954","57-0604703","2014","132"
"3955","57-0604703","2015","146"
"3956","57-0604703","2016","149"
"3957","57-0604703","2017","147"
"3958","57-0604703","2018","172"
"3959","57-0604703","2019","212"
"3960","57-0604703","2020","213"
"3961","57-0604703","2021","216"
"3962","57-0524498","2009","196"
"3963","57-0524498","2010","191"
"3964","57-0524498","2011","172"
"3965","57-0524498","2012","176"
"3966","57-0524498","2013","157"
"3967","57-0524498","2014","178"
"3968","57-0524498","2015","183"
"3969","57-0524498","2015","187"
"3970","57-0524498","2016","208"
"3971","57-0524498","2017","217"
"3972","57-0524498","2018","212"
"3973","57-0524498","2019","217"
"3974","57-0524498","2020","175"
"3975","57-0524498","2021","184"
"3976","57-0523586","2009","202"
"3977","57-0523586","2010","202"
"3978","57-0523586","2011","202"
"3979","57-0523586","2012","202"
"3980","57-0523586","2013","275"
"3981","57-0523586","2014","294"
"3982","57-0523586","2015","283"
"3983","57-0523586","2016","263"
"3984","57-0523586","2017","273"
"3985","57-0523586","2018","301"
"3986","57-0523586","2019","314"
"3987","57-0523586","2020","328"
"3988","62-0977215","2009","57"
"3989","62-0977215","2010","63"
"3990","62-0977215","2011","58"
"3991","62-0977215","2012","63"
"3992","62-0977215","2013","55"
"3993","62-0977215","2014","70"
"3994","62-0977215","2015","71"
"3995","62-0977215","2016","75"
"3996","62-0977215","2017","72"
"3997","62-0977215","2018","68"
"3998","62-0977215","2019","77"
"3999","62-0977215","2020","78"
"4000","62-0977215","2021","96"
"4001","62-0977215","2022","84"
"4002","62-1240690","2009","268"
"4003","62-1240690","2010","257"
"4004","62-1240690","2011","249"
"4005","62-1240690","2012","265"
"4006","62-1240690","2013","251"
"4007","62-1240690","2014","230"
"4008","62-1240690","2015","239"
"4009","62-1240690","2016","238"
"4010","62-1240690","2017","253"
"4011","62-1240690","2018","260"
"4012","62-1240690","2019","260"
"4013","62-1240690","2020","260"
"4014","62-1240690","2021","265"
"4015","62-1240690","2022","289"
"4016","59-2420282","2009","250"
"4017","59-2420282","2010","250"
"4018","59-2420282","2011","299"
"4019","59-2420282","2012","432"
"4020","59-2420282","2013","478"
"4021","59-2420282","2014","608"
"4022","59-2420282","2015","722"
"4023","59-2420282","2016","777"
"4024","59-2420282","2017","795"
"4025","59-2420282","2018","772"
"4026","59-2420282","2019","731"
"4027","59-2420282","2020","831"
"4028","59-2420282","2021","822"
"4029","62-0913596","2008","30"
"4030","62-0913596","2009","29"
"4031","62-0913596","2010","32"
"4032","62-0913596","2011","31"
"4033","62-0913596","2012","38"
"4034","62-0913596","2013","31"
"4035","62-0913596","2014","32"
"4036","62-0913596","2015","37"
"4037","62-0913596","2016","41"
"4038","62-0913596","2017","43"
"4039","62-0913596","2018","39"
"4040","62-0913596","2019","41"
"4041","62-0913596","2021","47"
"4042","62-0637925","2009","701"
"4043","62-0637925","2010","657"
"4044","62-0637925","2011","664"
"4045","62-0637925","2012","668"
"4046","62-0637925","2013","712"
"4047","62-0637925","2014","774"
"4048","62-0637925","2015","789"
"4049","62-0637925","2016","754"
"4050","62-0637925","2017","829"
"4051","62-0637925","2018","884"
"4052","62-0637925","2019","892"
"4053","62-0637925","2020","878"
"4054","62-0637925","2021","866"
"4055","59-3219191","2008","60"
"4056","59-3219191","2009","105"
"4057","59-3219191","2010","136"
"4058","59-3219191","2011","157"
"4059","59-3219191","2012","187"
"4060","59-3219191","2013","194"
"4061","59-3219191","2014","176"
"4062","59-3219191","2015","184"
"4063","59-3219191","2016","244"
"4064","59-3219191","2017","266"
"4065","59-3219191","2018","295"
"4066","59-3219191","2019","351"
"4067","59-3219191","2020","349"
"4068","58-1470587","2009","146"
"4069","58-1470587","2010","133"
"4070","58-1470587","2011","106"
"4071","58-1470587","2012","142"
"4072","58-1470587","2013","144"
"4073","58-1470587","2014","138"
"4074","58-1470587","2015","140"
"4075","58-1470587","2016","151"
"4076","58-1470587","2017","148"
"4077","58-1470587","2018","127"
"4078","58-1470587","2019","133"
"4079","58-1470587","2020","130"
"4080","58-1470587","2021","130"
"4081","56-1852922","2008","89"
"4082","56-1852922","2009","119"
"4083","56-1852922","2010","190"
"4084","56-1852922","2011","192"
"4085","56-1852922","2012","203"
"4086","56-1852922","2013","207"
"4087","56-1852922","2014","211"
"4088","56-1852922","2015","229"
"4089","56-1852922","2016","227"
"4090","56-1852922","2017","222"
"4091","56-1852922","2018","221"
"4092","56-1852922","2019","210"
"4093","56-1852922","2020","221"
"4094","56-1852922","2021","243"
"4095","59-3185020","2009","91"
"4096","59-3185020","2010","81"
"4097","59-3185020","2011","77"
"4098","59-3185020","2012","92"
"4099","59-3185020","2013","90"
"4100","59-3185020","2014","99"
"4101","59-3185020","2015","111"
"4102","59-3185020","2016","154"
"4103","59-3185020","2017","201"
"4104","59-3185020","2018","193"
"4105","59-3185020","2019","187"
"4106","59-3185020","2020","181"
"4107","59-3185020","2021","173"
"4108","62-1027042","2009","24"
"4109","62-1027042","2010","28"
"4110","62-1027042","2011","33"
"4111","62-1027042","2012","37"
"4112","62-1027042","2013","34"
"4113","62-1027042","2014","42"
"4114","62-1027042","2015","49"
"4115","62-1027042","2016","54"
"4116","62-1027042","2017","56"
"4117","62-1027042","2018","53"
"4118","62-1027042","2019","53"
"4119","62-1027042","2020","51"
"4120","62-1027042","2021","54"
"4121","62-0818892","2009","164"
"4122","62-0818892","2010","164"
"4123","62-0818892","2011","154"
"4124","62-0818892","2012","131"
"4125","62-0818892","2013","134"
"4126","62-0818892","2014","138"
"4127","62-0818892","2015","134"
"4128","62-0818892","2016","157"
"4129","62-0818892","2017","167"
"4130","62-0818892","2018","174"
"4131","62-0818892","2019","171"
"4132","62-0818892","2020","173"
"4133","62-0818892","2021","173"
"4134","62-1035426","2009","189"
"4135","62-1035426","2010","187"
"4136","62-1035426","2011","210"
"4137","62-1035426","2012","205"
"4138","62-1035426","2013","166"
"4139","62-1035426","2014","145"
"4140","62-1035426","2015","148"
"4141","62-1035426","2016","148"
"4142","62-1035426","2017","148"
"4143","62-1035426","2018","154"
"4144","62-1035426","2019","175"
"4145","62-1035426","2020","182"
"4146","62-1035426","2021","186"
"4147","23-7357228","2009","63"
"4148","23-7357228","2010","77"
"4149","23-7357228","2011","60"
"4150","23-7357228","2012","60"
"4151","23-7357228","2013","78"
"4152","23-7357228","2014","78"
"4153","23-7357228","2015","89"
"4154","23-7357228","2016","92"
"4155","23-7357228","2017","103"
"4156","23-7357228","2018","119"
"4157","23-7357228","2019","119"
"4158","23-7357228","2020","114"
"4159","23-7357228","2021","124"
"4160","59-3489664","2009","24"
"4161","59-3489664","2010","48"
"4162","59-3489664","2011","48"
"4163","59-3489664","2012","56"
"4164","59-3489664","2013","59"
"4165","59-3489664","2014","65"
"4166","59-3489664","2015","86"
"4167","59-3489664","2016","104"
"4168","59-3489664","2017","129"
"4169","59-3489664","2018","138"
"4170","59-3489664","2019","154"
"4171","59-3489664","2020","136"
"4172","59-3489664","2021","123"
"4173","58-2366697","2009","84"
"4174","58-2366697","2010","87"
"4175","58-2366697","2011","84"
"4176","58-2366697","2012","84"
"4177","58-2366697","2013","94"
"4178","58-2366697","2014","94"
"4179","58-2366697","2015","128"
"4180","58-2366697","2016","129"
"4181","58-2366697","2017","152"
"4182","58-2366697","2018","160"
"4183","58-2366697","2019","210"
"4184","58-2366697","2020","219"
"4185","58-2366697","2021","243"
"4186","59-1480970","2009","372"
"4187","59-1480970","2010","351"
"4188","59-1480970","2011","336"
"4189","59-1480970","2012","411"
"4190","59-1480970","2013","442"
"4191","59-1480970","2014","459"
"4192","59-1480970","2015","475"
"4193","59-1480970","2016","545"
"4194","59-1480970","2017","583"
"4195","59-1480970","2018","610"
"4196","59-1480970","2019","630"
"4197","59-1480970","2020","678"
"4198","59-1480970","2021","716"
"4199","59-1741273","2008","384"
"4200","59-1741273","2009","436"
"4201","59-1741273","2010","326"
"4202","59-1741273","2011","364"
"4203","59-1741273","2012","381"
"4204","59-1741273","2013","397"
"4205","59-1741273","2014","438"
"4206","59-1741273","2015","454"
"4207","59-1741273","2016","526"
"4208","59-1741273","2017","559"
"4209","59-1741273","2018","634"
"4210","59-1741273","2019","656"
"4211","59-1741273","2020","682"
"4212","59-1741273","2021","737"
"4213","59-1741277","2009","316"
"4214","59-1741277","2010","304"
"4215","59-1741277","2011","307"
"4216","59-1741277","2012","324"
"4217","59-1741277","2013","280"
"4218","59-1741277","2014","350"
"4219","59-1741277","2015","457"
"4220","59-1741277","2016","478"
"4221","59-1741277","2017","491"
"4222","59-1741277","2018","493"
"4223","59-1741277","2019","479"
"4224","59-1741277","2020","461"
"4225","59-1741277","2021","449"
"4226","62-1583270","2009","225"
"4227","62-1583270","2010","270"
"4228","62-1583270","2011","292"
"4229","62-1583270","2012","337"
"4230","62-1583270","2013","369"
"4231","62-1583270","2014","403"
"4232","62-1583270","2015","395"
"4233","62-1583270","2016","429"
"4234","62-1583270","2017","420"
"4235","62-1583270","2018","477"
"4236","62-1583270","2019","477"
"4237","62-1583270","2020","515"
"4238","62-1583270","2021","560"
"4239","59-1741286","2008","219"
"4240","59-1741286","2009","206"
"4241","59-1741286","2010","202"
"4242","59-1741286","2011","215"
"4243","59-1741286","2012","269"
"4244","59-1741286","2013","279"
"4245","59-1741286","2014","292"
"4246","59-1741286","2015","333"
"4247","59-1741286","2016","333"
"4248","59-1741286","2017","349"
"4249","59-1741286","2018","363"
"4250","59-1741286","2019","400"
"4251","59-1741286","2020","452"
"4252","59-1741303","2009","300"
"4253","59-1741303","2010","290"
"4254","59-1741303","2011","267"
"4255","59-1741303","2012","341"
"4256","59-1741303","2013","354"
"4257","59-1741303","2014","382"
"4258","59-1741303","2015","434"
"4259","59-1741303","2016","433"
"4260","59-1741303","2017","494"
"4261","59-1741303","2018","536"
"4262","59-1741303","2019","553"
"4263","59-1741303","2020","565"
"4264","59-1741303","2021","579"
"4265","63-0932057","2008","98"
"4266","63-0932057","2009","168"
"4267","63-0932057","2010","95"
"4268","63-0932057","2011","95"
"4269","63-0932057","2012","0"
"4270","63-0932057","2013","0"
"4271","63-0932057","2014","123"
"4272","63-0932057","2016","83"
"4273","63-0932057","2017","88"
"4274","63-0932057","2018","88"
"4275","63-0932057","2019","88"
"4276","63-0932057","2020","120"
"4277","63-0932057","2021","114"
"4278","58-1752700","2008","122"
"4279","58-1752700","2009","138"
"4280","58-1752700","2010","134"
"4281","58-1752700","2011","140"
"4282","58-1752700","2012","169"
"4283","58-1752700","2014","180"
"4284","58-1752700","2015","202"
"4285","58-1752700","2016","205"
"4286","58-1752700","2017","233"
"4287","58-1752700","2018","353"
"4288","58-1752700","2019","389"
"4289","58-1752700","2020","414"
"4290","58-1752700","2021","367"
"4291","59-3229898","2009","154"
"4292","59-3229898","2010","137"
"4293","59-3229898","2011","1"
"4294","59-3229898","2012","141"
"4295","59-3229898","2013","133"
"4296","59-3229898","2014","160"
"4297","59-3229898","2015","178"
"4298","59-3229898","2016","190"
"4299","59-3229898","2017","207"
"4300","59-3229898","2018","210"
"4301","59-3229898","2019","210"
"4302","59-3229898","2020","148"
"4303","59-3229898","2021","198"
"4304","64-0732893","2009","123"
"4305","64-0732893","2010","102"
"4306","64-0732893","2011","119"
"4307","64-0732893","2012","117"
"4308","64-0732893","2013","125"
"4309","64-0732893","2014","131"
"4310","64-0732893","2015","122"
"4311","64-0732893","2016","122"
"4312","64-0732893","2017","120"
"4313","64-0732893","2018","116"
"4314","64-0732893","2019","120"
"4315","64-0732893","2020","128"
"4316","57-1084051","2009","20"
"4317","57-1084051","2010","51"
"4318","57-1084051","2011","71"
"4319","57-1084051","2012","78"
"4320","57-1084051","2013","85"
"4321","57-1084051","2014","86"
"4322","57-1084051","2015","95"
"4323","57-1084051","2016","92"
"4324","57-1084051","2017","106"
"4325","57-1084051","2018","123"
"4326","57-1084051","2019","151"
"4327","57-1084051","2020","174"
"4328","57-1084051","2021","191"
"4329","58-1649042","2009","79"
"4330","58-1649042","2010","75"
"4331","58-1649042","2011","72"
"4332","58-1649042","2012","73"
"4333","58-1649042","2013","81"
"4334","58-1649042","2014","102"
"4335","58-1649042","2015","104"
"4336","58-1649042","2016","109"
"4337","58-1649042","2017","101"
"4338","58-1649042","2019","110"
"4339","58-1649042","2020","115"
"4340","58-1649042","2021","122"
"4341","62-0984410","2009","66"
"4342","62-0984410","2010","62"
"4343","62-0984410","2011","71"
"4344","62-0984410","2012","67"
"4345","62-0984410","2013","55"
"4346","62-0984410","2014","55"
"4347","62-0984410","2015","57"
"4348","62-0984410","2016","62"
"4349","62-0984410","2017","64"
"4350","62-0984410","2018","74"
"4351","62-0984410","2019","84"
"4352","62-0984410","2020","93"
"4353","58-2639942","2009","43"
"4354","58-2639942","2010","56"
"4355","58-2639942","2011","57"
"4356","58-2639942","2012","75"
"4357","58-2639942","2013","68"
"4358","58-2639942","2014","86"
"4359","58-2639942","2015","97"
"4360","58-2639942","2016","97"
"4361","58-2639942","2017","142"
"4362","58-2639942","2018","158"
"4363","58-2639942","2019","144"
"4364","58-2639942","2020","125"
"4365","58-2639942","2021","108"
"4366","58-2639942","2022","123"
"4367","57-1095992","2009","81"
"4368","57-1095992","2010","88"
"4369","57-1095992","2011","94"
"4370","57-1095992","2012","114"
"4371","57-1095992","2013","119"
"4372","57-1095992","2014","127"
"4373","57-1095992","2015","164"
"4374","57-1095992","2016","179"
"4375","57-1095992","2017","205"
"4376","57-1095992","2018","226"
"4377","57-1095992","2019","249"
"4378","57-1095992","2020","267"
"4379","57-1095992","2021","271"
"4380","55-0799729","2009","39"
"4381","55-0799729","2010","49"
"4382","55-0799729","2011","54"
"4383","55-0799729","2012","67"
"4384","55-0799729","2013","72"
"4385","55-0799729","2014","92"
"4386","55-0799729","2015","110"
"4387","55-0799729","2016","110"
"4388","55-0799729","2017","98"
"4389","55-0799729","2018","110"
"4390","55-0799729","2019","114"
"4391","55-0799729","2020","118"
"4392","55-0799729","2021","117"
"4393","65-0063921","2009","62"
"4394","65-0063921","2010","62"
"4395","65-0063921","2011","66"
"4396","65-0063921","2012","56"
"4397","65-0063921","2013","56"
"4398","65-0063921","2014","65"
"4399","65-0063921","2015","59"
"4400","65-0063921","2016","101"
"4401","65-0063921","2017","101"
"4402","65-0063921","2018","67"
"4403","65-0063921","2019","83"
"4404","65-0063921","2020","92"
"4405","65-0063921","2021","96"
"4406","64-0592416","2008","284"
"4407","64-0592416","2009","258"
"4408","64-0592416","2010","250"
"4409","64-0592416","2011","234"
"4410","64-0592416","2012","255"
"4411","64-0592416","2013","299"
"4412","64-0592416","2014","314"
"4413","64-0592416","2015","307"
"4414","64-0592416","2016","308"
"4415","64-0592416","2017","291"
"4416","64-0592416","2018","308"
"4417","64-0592416","2019","327"
"4418","64-0592416","2020","359"
"4419","64-0877375","2009","129"
"4420","64-0877375","2010","153"
"4421","64-0877375","2011","187"
"4422","64-0877375","2012","180"
"4423","64-0877375","2013","199"
"4424","64-0877375","2014","203"
"4425","64-0877375","2015","222"
"4426","64-0877375","2016","270"
"4427","64-0877375","2017","263"
"4428","64-0877375","2018","278"
"4429","64-0877375","2019","240"
"4430","64-0877375","2020","452"
"4431","64-0877375","2021","214"
"4432","63-0727781","2009","175"
"4433","63-0727781","2010","194"
"4434","63-0727781","2011","194"
"4435","63-0727781","2012","196"
"4436","63-0727781","2013","201"
"4437","63-0727781","2014","187"
"4438","63-0727781","2015","214"
"4439","63-0727781","2015","220"
"4440","63-0727781","2016","247"
"4441","63-0727781","2017","236"
"4442","63-0727781","2018","221"
"4443","63-0727781","2019","257"
"4444","63-0727781","2020","228"
"4445","57-0891008","2009","77"
"4446","57-0891008","2010","72"
"4447","57-0891008","2011","74"
"4448","57-0891008","2012","90"
"4449","57-0891008","2013","86"
"4450","57-0891008","2014","88"
"4451","57-0891008","2015","91"
"4452","57-0891008","2016","89"
"4453","57-0891008","2017","97"
"4454","57-0891008","2018","102"
"4455","57-0891008","2019","124"
"4456","57-0891008","2020","134"
"4457","57-0891008","2021","147"
"4458","57-0891008","2022","141"
"4459","57-0932597","2009","202"
"4460","57-0932597","2010","218"
"4461","57-0932597","2011","232"
"4462","57-0932597","2012","230"
"4463","57-0932597","2013","229"
"4464","57-0932597","2014","256"
"4465","57-0932597","2015","268"
"4466","57-0932597","2016","296"
"4467","57-0932597","2017","318"
"4468","57-0932597","2018","309"
"4469","57-0932597","2020","302"
"4470","57-0932597","2021","316"
"4471","59-2871302","2009","75"
"4472","59-2871302","2010","104"
"4473","59-2871302","2011","105"
"4474","59-2871302","2012","107"
"4475","59-2871302","2013","132"
"4476","59-2871302","2014","144"
"4477","59-2871302","2015","216"
"4478","59-2871302","2016","263"
"4479","59-2871302","2017","281"
"4480","59-2871302","2018","0"
"4481","59-2871302","2019","0"
"4482","59-2871302","2020","0"
"4483","59-2871302","2021","396"
"4484","64-0610471","2009","57"
"4485","64-0610471","2010","61"
"4486","64-0610471","2011","61"
"4487","64-0610471","2012","61"
"4488","64-0610471","2013","53"
"4489","64-0610471","2014","56"
"4490","64-0610471","2015","60"
"4491","64-0610471","2016","62"
"4492","64-0610471","2017","64"
"4493","64-0610471","2018","64"
"4494","64-0610471","2019","62"
"4495","64-0610471","2020","67"
"4496","64-0610471","2021","70"
"4497","64-0610471","2022","80"
"4498","57-0650154","2009","155"
"4499","57-0650154","2010","188"
"4500","57-0650154","2011","186"
"4501","57-0650154","2012","201"
"4502","57-0650154","2013","245"
"4503","57-0650154","2014","266"
"4504","57-0650154","2015","268"
"4505","57-0650154","2016","276"
"4506","57-0650154","2017","287"
"4507","57-0650154","2018","296"
"4508","57-0650154","2019","321"
"4509","57-0650154","2020","329"
"4510","57-0650154","2021","334"
"4511","56-2143419","2009","14"
"4512","56-2143419","2010","25"
"4513","56-2143419","2011","23"
"4514","56-2143419","2012","44"
"4515","56-2143419","2013","33"
"4516","56-2143419","2014","36"
"4517","56-2143419","2015","36"
"4518","56-2143419","2017","60"
"4519","56-2143419","2018","93"
"4520","56-2143419","2019","103"
"4521","56-2143419","2020","105"
"4522","56-2143419","2021","104"
"4523","63-0737968","2009","43"
"4524","63-0737968","2010","39"
"4525","63-0737968","2011","41"
"4526","63-0737968","2012","41"
"4527","63-0737968","2013","38"
"4528","63-0737968","2014","38"
"4529","63-0737968","2015","49"
"4530","63-0737968","2016","49"
"4531","63-0737968","2017","49"
"4532","63-0737968","2018","47"
"4533","63-0737968","2019","47"
"4534","63-0737968","2020","64"
"4535","63-0737968","2021","64"
"4536","58-2180056","2009","71"
"4537","58-2180056","2010","58"
"4538","58-2180056","2011","65"
"4539","58-2180056","2012","74"
"4540","58-2180056","2013","94"
"4541","58-2180056","2014","87"
"4542","58-2180056","2015","72"
"4543","58-2180056","2016","68"
"4544","58-2180056","2017","67"
"4545","58-2180056","2018","72"
"4546","58-2180056","2019","69"
"4547","58-2180056","2020","70"
"4548","58-2180056","2021","27"
"4549","64-0620763","2009","69"
"4550","64-0620763","2010","69"
"4551","64-0620763","2011","77"
"4552","64-0620763","2012","69"
"4553","64-0620763","2013","58"
"4554","64-0620763","2014","66"
"4555","64-0620763","2015","76"
"4556","64-0620763","2016","81"
"4557","64-0620763","2017","79"
"4558","64-0620763","2018","92"
"4559","64-0620763","2019","84"
"4560","64-0620763","2020","86"
"4561","64-0620763","2021","96"
"4562","64-0620763","2022","100"
"4563","57-0965445","2008","292"
"4564","57-0965445","2009","258"
"4565","57-0965445","2010","281"
"4566","57-0965445","2011","284"
"4567","57-0965445","2012","383"
"4568","57-0965445","2013","452"
"4569","57-0965445","2014","522"
"4570","57-0965445","2015","496"
"4571","57-0965445","2016","552"
"4572","57-0965445","2017","560"
"4573","57-0965445","2018","580"
"4574","57-0965445","2019","625"
"4575","57-0965445","2020","658"
"4576","57-0965445","2021","711"
"4577","58-1335405","2009","64"
"4578","58-1335405","2010","100"
"4579","58-1335405","2011","110"
"4580","58-1335405","2012","115"
"4581","58-1335405","2013","120"
"4582","58-1335405","2014","156"
"4583","58-1335405","2015","187"
"4584","58-1335405","2016","244"
"4585","58-1335405","2017","276"
"4586","58-1335405","2018","363"
"4587","58-1335405","2019","466"
"4588","58-1335405","2020","545"
"4589","58-1335405","2021","557"
"4590","58-1335405","2022","670"
"4591","57-0803696","2009","29"
"4592","57-0803696","2010","28"
"4593","57-0803696","2011","28"
"4594","57-0803696","2012","28"
"4595","57-0803696","2013","28"
"4596","57-0803696","2014","25"
"4597","57-0803696","2015","20"
"4598","57-0803696","2016","23"
"4599","57-0803696","2017","23"
"4600","57-0803696","2018","27"
"4601","57-0803696","2019","23"
"4602","57-0803696","2020","27"
"4603","57-0803696","2021","27"
"4604","59-1865751","2009","758"
"4605","59-1865751","2010","809"
"4606","59-1865751","2011","833"
"4607","59-1865751","2012","865"
"4608","59-1865751","2013","1042"
"4609","59-1865751","2014","1041"
"4610","59-1865751","2015","1053"
"4611","59-1865751","2016","1064"
"4612","59-1865751","2017","1084"
"4613","59-1865751","2018","1077"
"4614","59-1865751","2019","1052"
"4615","59-1865751","2020","1266"
"4616","59-1865751","2021","1268"
"4617","90-0068515","2009","89"
"4618","90-0068515","2010","100"
"4619","90-0068515","2011","122"
"4620","90-0068515","2012","156"
"4621","90-0068515","2013","210"
"4622","90-0068515","2014","284"
"4623","90-0068515","2015","314"
"4624","90-0068515","2016","364"
"4625","90-0068515","2017","447"
"4626","90-0068515","2018","447"
"4627","90-0068515","2019","426"
"4628","90-0068515","2020","461"
"4629","90-0068515","2021","460"
"4630","04-3779582","2009","28"
"4631","04-3779582","2010","13"
"4632","04-3779582","2011","29"
"4633","04-3779582","2012","30"
"4634","04-3779582","2013","32"
"4635","04-3779582","2014","49"
"4636","04-3779582","2015","54"
"4637","04-3779582","2016","66"
"4638","04-3779582","2017","80"
"4639","04-3779582","2018","96"
"4640","04-3779582","2019","116"
"4641","04-3779582","2020","140"
"4642","04-3779582","2021","140"
"4643","31-1591242","2008","0"
"4644","31-1591242","2009","0"
"4645","31-1591242","2010","57"
"4646","31-1591242","2011","35"
"4647","31-1591242","2012","33"
"4648","31-1591242","2013","35"
"4649","31-1591242","2014","54"
"4650","31-1591242","2015","74"
"4651","31-1591242","2016","114"
"4652","31-1591242","2017","138"
"4653","31-1591242","2018","162"
"4654","31-1591242","2019","194"
"4655","64-0646692","2008","14"
"4656","64-0646692","2009","18"
"4657","64-0646692","2010","17"
"4658","64-0646692","2011","17"
"4659","64-0646692","2012","24"
"4660","64-0646692","2013","0"
"4661","64-0646692","2014","29"
"4662","64-0646692","2015","31"
"4663","64-0646692","2016","32"
"4664","64-0646692","2017","32"
"4665","64-0646692","2018","36"
"4666","64-0646692","2019","33"
"4667","64-0646692","2020","36"
"4668","64-0646692","2021","38"
"4669","61-0729915","2008","439"
"4670","61-0729915","2009","162"
"4671","61-0729915","2010","138"
"4672","61-0729915","2011","146"
"4673","61-0729915","2012","136"
"4674","61-0729915","2013","182"
"4675","61-0729915","2014","184"
"4676","61-0729915","2015","205"
"4677","61-0729915","2016","222"
"4678","61-0729915","2017","258"
"4679","61-0729915","2018","249"
"4680","61-0729915","2019","257"
"4681","61-0729915","2020","596"
"4682","61-0729915","2021","503"
"4683","63-0727804","2009","246"
"4684","63-0727804","2010","280"
"4685","63-0727804","2011","300"
"4686","63-0727804","2012","308"
"4687","63-0727804","2013","331"
"4688","63-0727804","2014","334"
"4689","63-0727804","2015","0"
"4690","63-0727804","2016","0"
"4691","63-0727804","2017","308"
"4692","63-0727804","2018","318"
"4693","63-0727804","2019","326"
"4694","63-0727804","2020","326"
"4695","63-0727804","2021","226"
"4696","63-0727804","2022","226"
"4697","59-1829984","2008","244"
"4698","59-1829984","2009","239"
"4699","59-1829984","2010","227"
"4700","59-1829984","2011","294"
"4701","59-1829984","2012","316"
"4702","59-1829984","2013","330"
"4703","59-1829984","2014","363"
"4704","59-1829984","2015","441"
"4705","59-1829984","2016","514"
"4706","59-1829984","2017","524"
"4707","59-1829984","2018","455"
"4708","59-1829984","2019","574"
"4709","59-1829984","2020","574"
"4710","59-1829984","2021","598"
"4711","61-0650246","2009","229"
"4712","61-0650246","2010","271"
"4713","61-0650246","2011","280"
"4714","61-0650246","2012","315"
"4715","61-0650246","2013","312"
"4716","61-0650246","2014","379"
"4717","61-0650246","2015","383"
"4718","61-0650246","2016","401"
"4719","61-0650246","2017","409"
"4720","61-0650246","2018","410"
"4721","61-0650246","2019","368"
"4722","61-0650246","2020","318"
"4723","61-0650246","2021","178"
"4724","58-1344015","2009","185"
"4725","58-1344015","2010","211"
"4726","58-1344015","2011","236"
"4727","58-1344015","2012","247"
"4728","58-1344015","2013","264"
"4729","58-1344015","2014","265"
"4730","58-1344015","2015","272"
"4731","58-1344015","2016","294"
"4732","58-1344015","2017","342"
"4733","58-1344015","2018","371"
"4734","58-1344015","2019","434"
"4735","58-1344015","2020","448"
"4736","58-1344015","2021","448"
